date,interest_rate,m4_moneySupply,net_lending_privateSector,net_lending_publicSector,bond_issuance,bond_repayment,change_in_reserves
01/11/2007,,,513208,32055,,,
01/12/2007,,,524617,31027,49694,23316,-792
06/12/2007,5.5,,,,,,
01/01/2008,,1712533,561765,24035,,,
01/02/2008,,,569014,25338,,,
07/02/2008,5.25,,,,,,
01/03/2008,,,616346,25635,57605,10907,1820
01/04/2008,,1760041,579344,24035,,,
10/04/2008,5,,,,,,
01/05/2008,,,571168,22820,,,
01/06/2008,,,553379,15538,52369,15507,2631
01/07/2008,,1825935,541281,16949,,,
01/08/2008,,,595065,30464,,,
01/09/2008,,,574484,45377,57860,17818,7990
01/10/2008,,1933942,602874,45620,,,
08/10/2008,4.5,,,,,,
01/11/2008,,,640998,59887,,,
06/11/2008,3,,,,,,
01/12/2008,,,660761,61665,67950,-7731,6789
04/12/2008,2,,,,,,
01/01/2009,,2004805,614368,72085,,,
08/01/2009,1.5,,,,,,
01/02/2009,,,617694,63902,,,
05/02/2009,1,,,,,,
01/03/2009,,,594568,78458,66156,-15925,-2340
05/03/2009,0.5,,,,,,
01/04/2009,,1979300,594461,107161,,,
01/05/2009,,,566825,124645,,,
01/06/2009,,,522109,155617,61257,-5671,84625
01/07/2009,,2010935,526734,182435,,,
01/08/2009,,,524819,196581,,,
01/09/2009,,,516272,220963,48294,10283,11999
01/10/2009,,2043196,514273,236762,,,
01/11/2009,,,541871,255336,,,
01/12/2009,,,527229,261283,54255,9602,8448
01/01/2010,,2225297,532984,275412,,,
01/02/2010,,,553596,274821,,,
01/03/2010,,,570374,276384,84856,-32109,6445
01/04/2010,,2207319,586037,285574,,,
01/05/2010,,,598227,292581,,,
01/06/2010,,,528621,300403,39559,8880,-2538
01/07/2010,,2183300,521701,305665,,,
01/08/2010,,,536932,315125,,,
01/09/2010,,,547582,308718,47884,13175,-5357
01/10/2010,,2155083,548006,304907,,,
01/11/2010,,,534714,311904,,,
01/12/2010,,,535906,310029,83203,-28235,-4426
01/01/2011,,2168316,529493,317443,,,
01/02/2011,,,511302,323826,,,
01/03/2011,,,528002,318831,58728,-381,-4533
01/04/2011,,2161649,532953,331337,,,
01/05/2011,,,536513,343137,,,
01/06/2011,,,527026,348085,46727,7428,-6517
01/07/2011,,2132483,493724,358016,,,
01/08/2011,,,536894,356263,,,
01/09/2011,,,506106,364930,52885,14467,-4173
01/10/2011,,2086620,506125,386026,,,
01/11/2011,,,496228,407738,,,
01/12/2011,,,471113,416235,52598,-11781,39175
